NO,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROI
642,DB금융투자,4205,상승10,+0.24%,5000,1785,42446,8.85,2786,-2102.50,-0.01
643,휴비스,5170,0,0.00%,5000,1784,34500,1.41,3118,-2.21,-19.00
644,제이에스코퍼레이션,13370,하락240,-1.76%,100,1783,13336,1.02,8692,2.76,28.26
645,KOSEF 인도Nifty50(합성),18320,하락65,-0.35%,0,1777,9700,0.24,3456,N/A,N/A
646,노루페인트,8800,하락180,-2.00%,500,1760,20000,3.67,228670,15.60,3.31
647,코람코더원리츠,4350,상승30,+0.69%,500,1757,40400,0.94,4391,67.97,1.62
648,해태제과식품,6030,하락30,-0.50%,500,1756,29117,0.66,4774,-75.38,-0.91
649,KODEX 미국나스닥100레버리지(합성 H),5375,상승5,+0.09%,0,1752,32600,0.38,186228,N/A,N/A
650,ACE 중국본토CSI300,27890,하락65,-0.23%,0,1751,6280,0.04,400,N/A,N/A
651,신세계푸드,45050,하락150,-0.33%,5000,1745,3872,3.33,600,-32.41,-1.87
652,아남전자,2250,하락35,-1.53%,500,1735,77125,7.44,162268,12.50,15.76
653,NH투자증권우,9190,상승10,+0.11%,5000,1734,18871,2.18,1905,10.42,N/A
654,이지스밸류리츠,4715,하락35,-0.74%,1000,1733,36745,2.11,3770,3.39,19.41
655,TIGER 여행레저,4210,상승20,+0.48%,0,1732,41130,0.02,142701,N/A,N/A
656,태경케미컬,14860,하락90,-0.60%,500,1724,11600,2.84,73836,19.45,6.16
657,TIGER 반도체,28800,하락525,-1.79%,0,1722,5980,0.04,19409,N/A,N/A
658,신라교역,10660,하락40,-0.37%,500,1706,16000,3.18,1119,12.02,2.55
659,경보제약,7120,상승10,+0.14%,500,1702,23907,1.83,39154,273.85,0.42
660,금호에이치티,866,하락22,-2.48%,500,1699,196141,1.59,283313,-7.60,-6.78
661,현대약품,5280,하락60,-1.12%,500,1690,32000,4.18,48171,-1056.00,-0.19
662,KODEX 차이나CSI300,12840,상승5,+0.04%,0,1682,13100,0.11,3718,N/A,N/A
663,한국패러랠,2100,상승5,+0.24%,0,1680,80020,0.00,500,N/A,N/A
664,아시아나IDT,15120,상승270,+1.82%,500,1678,11100,0.95,7158,19.53,5.45
665,KB 블룸버그 인버스2X 천연가스선물 ETN(H),67130,상승6185,+10.15%,0,1678,2500,0.00,2294,N/A,N/A
666,KODEX ESG종합채권(A-이상)액티브,103660,하락40,-0.04%,0,1673,1614,0.00,10,N/A,N/A
667,신한 블룸버그 -2X 천연가스 선물 ETN(H),66880,상승6045,+9.94%,0,1672,2500,0.00,1280,N/A,N/A
668,동부건설,7290,하락90,-1.22%,5000,1668,22875,2.29,50138,4.20,7.01
669,TIGER 헬스케어,27970,하락140,-0.50%,0,1667,5960,0.09,19143,N/A,N/A
670,무학,5830,상승10,+0.17%,200,1662,28500,4.33,15106,-12.59,-2.70
671,KOSEF 단기자금,102560,상승25,+0.02%,0,1661,1620,0.00,4695,N/A,N/A
672,ACE 23-12 회사채(AA-이상)액티브,103390,상승40,+0.04%,0,1661,1607,0.01,213,N/A,N/A
673,현대리바트,8090,하락80,-0.98%,1000,1661,20535,3.82,6189,-3.27,-10.95
674,황금에스티,9770,하락380,-3.74%,500,1661,17000,5.03,306968,4.11,12.83
675,한국주철관,7280,하락90,-1.22%,500,1660,22800,4.59,9523,13.81,3.53
676,디씨엠,14500,하락140,-0.96%,500,1653,11400,2.17,8091,4.43,15.03
677,미래에셋 S&P -2X 천연가스 선물 ETN(H),65945,상승5405,+8.93%,0,1649,2500,0.00,455,N/A,N/A
678,동아타이어,11980,0,0.00%,500,1645,13733,3.15,832,6.86,6.41
679,인스코비,1458,하락30,-2.02%,500,1638,112380,4.54,441021,-22.09,-11.23
680,TIGER 23-12 국공채액티브,204020,상승130,+0.06%,0,1638,803,0.01,13,N/A,N/A
681,HANARO 200TR,41445,0,0.00%,0,1637,3950,0.00,0,N/A,N/A
682,SNT에너지,21700,상승400,+1.88%,500,1629,7507,2.66,29495,10.79,6.04
683,KODEX 장기종합채권(AA-이상)액티브KAP,89130,하락240,-0.27%,0,1614,1811,0.00,37,N/A,N/A
684,TIGER 코스피,26870,하락5,-0.02%,0,1612,6000,0.12,62,N/A,N/A
685,대한화섬,121400,상승200,+0.17%,5000,1612,1328,0.28,22,4.82,4.59
686,금강공업,5470,하락50,-0.91%,1000,1604,29329,2.88,25522,3.21,15.03
687,디와이,6080,하락90,-1.46%,500,1600,26320,5.45,26162,-37.07,-1.26
688,세아특수강,18580,하락290,-1.54%,5000,1592,8570,3.17,15584,8.73,5.47
689,KODEX TRF3070,11310,0,0.00%,0,1583,14000,0.09,6812,N/A,N/A
690,TIGER 글로벌4차산업혁신기술(합성 H),15050,0,0.00%,0,1580,10500,0.37,5856,N/A,N/A
691,삼성물산우B,97000,하락100,-0.10%,100,1579,1627,14.65,1411,8.95,N/A
692,SK이노베이션우,125700,하락1000,-0.79%,5000,1569,1248,14.53,4091,7.51,N/A
693,유니온머티리얼,3730,하락205,-5.21%,500,1567,42000,3.63,2166679,-746.00,-0.26
694,KTcs,3660,하락10,-0.27%,500,1562,42685,6.91,124101,9.15,9.52
695,TIGER 글로벌메타버스액티브,6790,상승65,+0.97%,0,1560,22970,0.70,6266,N/A,N/A
696,계룡건설,17370,하락130,-0.74%,5000,1551,8931,20.26,3732,2.56,8.36
